,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1931-01,0.0553,0.0662,0.0643,0.16190000000000002,0.0178,0.0877,-0.0022,0.0823,-0.006999999999999999,0.1333,0.0605,0.0301,0.0564,0.050499999999999996,0.0705,0.11109999999999999,0.0696,0.1416,0.0484,0.0553,0.0479,0.0584,0.0581,0.028900000000000002,0.1152,0.0487,0.0722,0.0705,0.18420000000000003,0.1764
1931-02,0.0704,0.1675,0.0694,0.0843,0.021,0.0621,0.0292,0.0781,0.1358,0.15439999999999998,0.1433,0.1435,0.1176,0.2506,0.17300000000000001,0.115,0.1416,-0.0064,0.0613,0.1527,0.059500000000000004,0.020499999999999997,0.1452,0.12789999999999999,0.023,-0.020499999999999997,0.1533,0.11109999999999999,0.1732,0.1625
1931-03,-0.0254,-0.2668,0.0022,-0.0632,-0.0161,-0.0373,0.0131,0.018000000000000002,-0.0725,-0.031,-0.061799999999999994,-0.07339999999999999,-0.08220000000000001,-0.0797,-0.0418,-0.0796,-0.06709999999999999,-0.129,-0.1433,-0.0294,-0.0358,0.0109,-0.0711,-0.0043,-0.10460000000000001,-0.0313,-0.0325,-0.0548,-0.0855,0.1711
1931-04,-0.08470000000000001,-0.2075,0.0269,-0.2733,-0.0981,-0.0425,-0.0821,-0.0362,-0.1283,-0.1213,-0.1384,-0.1727,-0.1576,-0.1463,-0.07719999999999999,-0.166,-0.1284,-0.0993,-0.1364,-0.0904,-0.0425,-0.0134,-0.0799,-0.0825,-0.0725,-0.0438,-0.045,-0.1266,-0.1516,-0.1864
1931-05,-0.12210000000000001,-0.0966,-0.11130000000000001,-0.2378,-0.1067,-0.1094,-0.0049,-0.1026,-0.12,-0.0756,-0.1574,-0.2072,-0.19030000000000002,-0.11470000000000001,-0.1588,-0.16570000000000001,-0.086,-0.1865,-0.1219,-0.1115,-0.0894,-0.5085000000000001,-0.1718,-0.1508,-0.172,-0.152,-0.0291,-0.0622,-0.1906,-0.0761
1931-06,0.1056,0.10210000000000001,0.1263,0.2263,0.017,0.08529999999999999,0.1165,0.0969,0.19440000000000002,0.08410000000000001,0.1481,0.1938,0.1229,0.1857,0.1514,0.2138,0.0698,0.2225,0.1732,0.11,0.10210000000000001,0.015600000000000001,0.1907,0.15380000000000002,0.16210000000000002,0.0279,0.0802,0.0512,0.2348,0.13970000000000002
1931-07,-0.0401,-0.09960000000000001,-0.0349,-0.08789999999999999,-0.030299999999999997,-0.0171,-0.0331,0.026099999999999998,-0.06309999999999999,-0.0564,-0.10060000000000001,-0.1515,-0.1217,-0.10310000000000001,-0.023799999999999998,-0.0907,-0.0812,-0.1617,-0.029900000000000003,-0.053899999999999997,-0.0487,-0.015300000000000001,-0.1058,-0.1272,-0.10529999999999999,-0.08109999999999999,-0.011899999999999999,-0.0818,-0.08810000000000001,0.0172
1931-08,0.0147,0.1382,-0.0351,0.0708,-0.0623,-0.0105,-0.024,0.0039000000000000003,0.0137,0.0031,-0.029500000000000002,0.005600000000000001,-0.0173,0.038,-0.026600000000000002,-0.0305,0.025699999999999997,-0.028900000000000002,0.1002,-0.0174,0.008199999999999999,0.0019,0.034300000000000004,0.0091,-0.067,0.0137,0.0311,0.011000000000000001,0.0039000000000000003,-0.0034000000000000002
1931-09,-0.2838,-0.25170000000000003,-0.217,-0.4249,-0.2213,-0.3497,-0.0839,-0.2945,-0.3042,-0.21600000000000003,-0.3127,-0.27140000000000003,-0.3335,-0.3453,-0.3488,-0.3094,-0.3179,-0.2969,-0.2984,-0.33049999999999996,-0.21559999999999999,-0.1666,-0.3179,-0.2364,-0.20600000000000002,-0.2612,-0.3041,-0.2717,-0.40020000000000006,-0.2635
1931-10,0.1065,0.2518,0.0608,0.1898,-0.1795,0.16269999999999998,-0.024700000000000003,0.11259999999999999,0.049100000000000005,0.0277,0.0556,0.0207,0.0908,0.1176,0.12279999999999999,0.1323,0.18710000000000002,0.019,0.1448,0.1048,0.0434,0.0241,0.099,0.1158,-0.0311,0.0737,0.142,0.11109999999999999,0.1202,0.047400000000000005
1931-11,-0.030299999999999997,-0.1066,-0.061,-0.3043,-0.1025,-0.0765,-0.0131,-0.0279,-0.051100000000000007,-0.1014,-0.09910000000000001,-0.10099999999999999,-0.0726,-0.15869999999999998,-0.0368,-0.1297,-0.1532,-0.1773,-0.08380000000000001,-0.04769999999999999,-0.06860000000000001,-0.0316,-0.0883,-0.09759999999999999,-0.21359999999999998,-0.1778,-0.09119999999999999,-0.1457,-0.1119,-0.042199999999999994
1931-12,-0.10300000000000001,-0.0783,-0.0626,-0.3035,-0.2102,-0.09179999999999999,-0.1421,-0.040999999999999995,-0.0629,-0.0659,-0.1754,-0.2559,-0.1743,-0.1421,-0.0825,-0.16760000000000003,-0.1285,-0.22719999999999999,-0.18789999999999998,-0.1324,-0.0794,-0.21420000000000003,-0.1161,-0.1215,-0.1476,-0.22329999999999997,-0.1517,-0.1332,-0.20980000000000001,-0.1359
1932-01,-0.015,-0.0591,0.0817,0.1699,-0.053099999999999994,0.0139,0.0471,-0.026600000000000002,-0.058499999999999996,0.0105,-0.0116,0.0336,0.0148,-0.1421,-0.0785,0.1235,0.0141,0.057800000000000004,-0.051699999999999996,-0.0252,-0.0404,-0.008,-0.0356,-0.0074,0.0788,-0.0028000000000000004,0.009300000000000001,-0.038599999999999995,0.0375,0.053399999999999996
